보증_고유키,상품설명
보증_0,기업 전용 정기적금 상품
보증_1,복잡한 우대금리 조건 없이 쉽고 간편한 적금 상품
보증_2,누구나 쉽게 이해하고 가입할 수 있는 정기예금 대표상품
보증_3,"중견기업 등에 대해서 우대금리 및 우대서비스를 제공하는 상품으로, 결제성 자금의 일시예치 및 여유자금의 단기적 운용 목적으로 적합"
보증_4,"영업점 방문없이 가입이 가능한 고금리 입출금이 자유로운 예금으로 인터넷뱅킹, 스마트폰뱅킹, 폰뱅킹 및 자동화기기이용수수료 우대"
보증_5,"영업점에서 가입이 가능한 온라인 전용 입출금이 자유로운 예금으로 인터넷뱅킹, 스마트폰뱅킹, 폰뱅킹 및 자동화기기 이용수수료 우대"
보증_6,기간·금액 구분없이 단일금리 제공하는 상품으로 온라인금융(인터넷뱅킹 등) 및 자동화기기 (CD/ATM) 이용수수료가 우대되는 예금상품
보증_7,금 관련 제품 및 스크랩등에 대한 부가가치세 매입자 납부특례 제도 시행에 따라 사업자간 관련 제품 거래 시 매매대금의 결제와 부가가치
보증_8,만기일을 일수까지 지정하여 가입 가능한 거치식 예금
보증_9,매월 지정일마다 일정액을 적립하여 목돈을 안정적으로 마련할 수 있는 정기적금
보증_10,"기초생활보장급여, 기초(노령)연금, 장애인연금, 장애(아동)수당 등에 대한 압류가 불가능한 압류방지 전용통장"
보증_11,단기 및 중기 여유자금 운용에 유용한 고수익 상품으로 만기전에도 자유로이 매매 가능한 상품
보증_12,이율 적용방식의 선택이 가능하고 환율우대 및 수수료우대서비스를 제공하는 외화 정기예금
보증_13,외국통화에 대한 거치식예금
보증_14,입출금이 자유로운 외화예금으로 인터넷/스마트폰뱅킹을 통해 가입한 경우 인터넷/스마트폰뱅킹에서는 이체 및 송금은 불가
보증_15,입출금이 자유로운 예금으로 법인 및 개인 명의로 개설 가능
보증_16,국민연금 수급전용 압류방지 통장
보증_17,은행의 조기해지권 매입과 이자율 금리스왑을 통해 기존 정기예금 대비 높은 금리를 제공하는 파생거래 연계 상품
보증_18,「국가유공자 등 예우 및 지원에 관한 법률」 등 보훈급여 관련 법령에 따라 국가보훈처에서 매월 지급되는 보훈급여금 등에 대하여 압류
보증_19,"고객 상황에 맞는 이자지급방식 선택가능한 상품으로 기업의 결제성 자금의 일시예치, 일시적 여유자금의 단기적 운용이 가능"
보증_20,공공 보증기관의 보증서 담보대출 실행 자금에 한하여 입금이 가능한 보증서담보대출 입금전용 보통예금
보증_21,"개인의 필요시기, 목적자금에 맞춰 가입해봐요!"
보증_22,"급여이체, 자동이체, 대출보유 등 당행 주거래 고객에게 금리우대"
보증_23,만기일을 직접 지정하여 필요자금을 사용할 수 있는 비대면 전용상품
보증_24,우대조건 없는 간편한 구조의 비대면 전용상품
보증_25,미세먼지 개선을 위한 ＇다짐＇과 ＇실천＇ 통해 금리우대 혜택을 제공받는 적립식 상품
보증_26,"급여이체, 자동이체, 대출보유 등 당행 주거래 고객에게 금리우대"
보증_27,그룹가입 및 스탬프 적립에 따라 우대금리를 제공하는 비대면전용 자유적립식적금 상품
보증_28,"국민주택, 민영주택 등 모든 주택에 청약할 수 있는 입주자 저축"
보증_29,우대조건 없는 간편한 구조의 비대면 전용상품
보증_30,레저업종(BC카드 가맹점기준)에서 기업은행카드 사용 시 거래수수료 면제
보증_31,2인의 거래실적을 합산하여 2인 모두에게 우대혜택 제공
보증_32,레저업종(BC카드 가맹점기준)에서 기업은행카드 사용 시 사용건수 또는 이용대금에 따라 금리우대
보증_33,"월 3백만원 이내로 적립할 수 있으며, 다양한 우대금리 제공하는 비대면 전용상품"
보증_34,"만기일시 지급식 중소기업금융채권으로, 30일 이상 364일 이하의 기간동안 일단위로 가입가능하며 최저 10만원에서 최대 500억원까지 예치가능"
보증_35,"자유적립식 단리채 방식 중소기업금융채권으로, 1년이상 3년이하 월단위 가입가능하며 최저 1만원 이상 1만원 단위 가입 가능"
보증_36,초기 창업기업에게 금리우대를 제공하는 사업자 전용 입출식예금
보증_37,중기임직원의 자산형성을 지원하는 중기임직원 전용 거치식 상품
보증_38,"중진공의 정책자금 외 입금이 제한되고, 기업은행과 업무협약을 체결한 MP사를 통해서 대금이 집행되도록 관리되는 전용 입출식 통장"
보증_39,"청년의 중장기 자산형성을 지원하는 적금상품으로, 정부기여금과 비과세 혜택을 제공"
보증_40,다양한 금융혜택을 제공하는 중기근로자 전용 입출금식 상품
보증_41,개인·기업·기관이 함께 혁신 창업 생태계 조성에 동참하여 사회적 가치를 실천하는 거치식예금
보증_42,개인·기업·기관이 함께 혁신 창업 생태계 조성에 동참하여 사회적 가치를 실천하는 거치식예금
보증_43,부모 또는 자녀가 부모급여/아동수당 수급하고 주택청약종합저축 신규하면 우대금리를 제공하는 적금상품
보증_44,중기임직원의 자산형성을 지원하는 중기임직원 전용 적금 상품
보증_45,거주 세대의 전기사용량 절약 여부에 따라 금리혜택 제공하는 적금상품 (아파트아이 제휴상품)
보증_46,국군재정관리단에서 지급하는 병 급여만 입금 가능하고 입금된 금액에 대해 압류를 방지하는 전용통장
보증_47,싸이월드 도토리 구입(충전) 시 자유롭게 이용할 수 있는 입출금식 통장
보증_48,"잔액 구간별 우대 금리를 기본 제공하고, 주거래 요건 충족 시 수수료 면제 혜택을 제공하는 비대면 전용 입출식 예금"
보증_49,"친환경기업, 고용창출 등 사회적가치 실천 기업 등 ESG 경영 추진기업에 우대금리를 제공하는 적립식예금 상품"
보증_50,자산관리가 필요한 직장인을 우대하는 적립식 상품
보증_51,"『구직자 취업촉진 및 생활안정지원에 관한 법률』 관련 법령에 따라 입금된 취업지원서비스 또는 구직촉진수당등만 입금가능하고 이에 관한 채권을 압류할 수 없고, 압류에 의한 지급제한이 되지 않는 압류방지전용통장"
보증_52,"친환경기업, 고용창출 등 사회적가치 실천 기업 등 ESG 경영 추진기업에 우대금리를 제공하는 적립식예금 상품"
보증_53,"친환경기업, 고용창출 등 사회적가치 실천 기업 등 ESG 경영 추진기업에 우대금리를 제공하는 거치식예금 상품"
보증_54,"친환경기업, 고용창출 등 사회적가치 실천 기업 등 ESG 경영 추진기업에 우대금리를 제공하는 거치식예금 상품"
보증_55,"임금채권보장법 제11조 등 관련법령에 따라 입금된 체당금(체불임금등대지급금)에 관한 채권을 압류할 수 없고, 압류에 의한 지급제한이 되지 않는 압류방지전용통장"
보증_56,한국주택금융공사법 등 관련 법령에 따라 주택담보노후연금으로 입금된 금액은 압류에 의한 지급제한이되지 않는 주택연금 압류방지 전용통장
보증_57,생활 속 금융거래를 한번에!
보증_58,매월 지정일 기준 통장잔액의 1를 자동적립
보증_59,오픈뱅킹 활성화를 위한 오픈뱅킹 전용상품
보증_60,오픈뱅킹을 통해서 가입하면 높은 금리를 제공하는 오픈뱅킹 전용상품
보증_61,외국인고객을 위한 전용상품
보증_62,LG페이 이용고객을 위한 목돈모으기 상품
보증_63,기업은행 카드로 대중교통 이용 시 거래수수료 면제
보증_64,"미세먼지 저감을 위해 ＇환경보호 실천서약＇에 동참한 기업과, 대기오염 저감조치, 친환경차 이용 등 환경개선을 실천하는 기업에게 우대금리를 제공하는 적립식 예금상품"
보증_65,미세먼지 개선을 위한 ＇실천＇을 통해 금리우대 혜택을 제공받는 거치식 상품
보증_66,군인연금에 대한 압류방지전용통장
보증_67,"단리채 방식 중소기업금융채권으로, 6개월이상 3년이하 월단위 가입가능하며 최저 1만원이상 1만원 단위 가입 가능"
보증_68,간편하게 만들고 혜택은 가득
보증_69,산업재해보상급여 수급자의 수급권 보호를 위한 압류방지통장
보증_70,제로페이 가맹점 결제대금 입금 또는 BC카드 매출대금이 입금되는 기업고객에게 수수료 면제 등 우대 혜택을 드리는 입출금식 예금
보증_71,제로페이 가맹점 결제대금 입금 또는 BC카드 매출대금이 입금되는 기업고객에게 금리 우대 혜택을 드리는 적립식 예금
보증_72,"제로페이 가맹점 또는 BC카드매출대금 입금 고객에게 우대금리를 드리는 3개월, 6개월, 12개월 가입이 가능한 예금상품"
보증_73,제로페이 가맹점 또는 BC카드매출대금 입금 고객에게 우대금리를 드리는 30일 이상 364일 이하 일단위 가입이 가능한 예금상품
보증_74,제로페이 가맹점 또는 BC카드매출대금 입금 고객에게 우대금리를 드리는 1년 만기 예금상품
보증_75,레저업종(BC카드 가맹점기준)에서 기업은행카드 사용 시 거래수수료 면제
보증_76,카카오페이 고객에게 다양한 혜택을 제공하는 자유적립식 상품
보증_77,"* i-ONE Bank(개인)를 통한 가입은 현역병, 상근예비역에 한함"
보증_78,"주택청약종합저축의 청약기능과 소득공제 혜택은 그대로 유지하면서 자격요건 충족 시, 우대이율과 비과세 혜택을 받을 수 있는 청년우대형 주택청약종합저축"
보증_79,효도 실천을 위해 가입하는 적금
보증_80,"만기일시 지급식 중소기업금융채권(복리채, 이표채로 가입가능)"
보증_81,"만기일시 지급식 중소기업금융채권으로, 30일 이상 364일 이하의 기간동안 일단위로 가입가능하며 최저 10만원에서 최대 500억원까지 예치가능"
